,Year,Country Name,GDP Growth (%),GDP per capita (US$),GDP per capita growth (%),Inflation (%),Unemployment (%),Health expenditure (% of GDP),Life expectancy (years),Population,HDI,Status
0,1995,Egypt,4.64,944.2,2.64,15.74,11.3,3.54,66.76,63714386.0,0.577,Developing
10,1996,Egypt,4.99,1041.52,3.02,7.19,9.0,3.9,67.23,64933456.0,0.585,Developing
20,1997,Egypt,5.49,1185.72,3.55,4.63,8.4,4.61,67.66,66151117.0,0.592,Developing
30,1998,Egypt,4.04,1259.0,2.14,3.87,8.03,4.93,68.04,67378056.0,0.593,Developing
40,1999,Egypt,6.11,1321.8,4.17,3.08,7.95,5.26,68.34,68626664.0,0.606,Developing
50,2000,Egypt,5.37,1428.18,3.44,2.68,9.0,5.55,68.59,69905988.0,0.612,Developing
60,2001,Egypt,3.54,1370.72,1.62,2.27,9.26,5.75,68.78,71226940.0,0.617,Developing
70,2002,Egypt,2.37,1210.23,0.45,2.74,10.01,5.97,68.95,72590118.0,0.621,Developing
80,2003,Egypt,3.19,1120.87,1.25,4.51,11.0,5.41,69.1,73981942.0,0.623,Developing
90,2004,Egypt,4.09,1045.94,2.16,11.27,10.3,5.21,69.26,75381899.0,0.629,Developing
100,2005,Egypt,4.48,1168.12,2.58,4.87,11.2,5.06,69.42,76778149.0,0.636,Developing
110,2006,Egypt,6.85,1375.2,4.97,7.64,10.49,5.24,69.6,78159048.0,0.644,Developing
120,2007,Egypt,7.09,1640.48,5.23,9.32,8.8,4.95,69.78,79537253.0,0.651,Developing
130,2008,Egypt,7.16,2011.25,5.28,18.32,8.7,4.82,69.96,80953881.0,0.659,Developing
140,2009,Egypt,4.67,2291.67,2.76,11.76,9.38,5.01,70.15,82465022.0,0.665,Developing
150,2010,Egypt,5.15,2602.48,3.09,11.27,8.98,4.8,70.34,84107606.0,0.671,Developing
160,2011,Egypt,1.78,2747.48,-0.34,10.05,12.0,5.04,70.53,85897561.0,0.673,Developing
170,2012,Egypt,2.22,3181.44,-0.01,7.12,12.67,5.29,70.73,87813257.0,0.681,Developing
180,2013,Egypt,2.19,3213.39,-0.08,9.42,13.21,5.46,70.92,89807433.0,0.686,Developing
190,2014,Egypt,2.92,3327.75,0.67,10.15,13.17,5.64,71.11,91812566.0,0.688,Developing
200,2015,Egypt,4.37,3547.71,2.18,10.36,12.84,5.51,71.3,93778172.0,0.691,Developing
2,1995,India,7.57,370.1,5.53,10.22,3.97,4.02,60.42,960482795.0,0.46,Developing
12,1996,India,7.55,396.01,5.53,8.98,3.95,3.9,60.89,978893217.0,0.468,Developing
22,1997,India,4.05,411.39,2.12,7.16,4.39,4.25,61.34,997405318.0,0.474,Developing
32,1998,India,6.18,409.19,4.24,13.23,4.12,4.3,61.78,1015974042.0,0.481,Developing
42,1999,India,8.85,437.59,6.89,4.67,4.22,4.03,62.19,1034539214.0,0.489,Developing
52,2000,India,3.84,438.86,2.02,4.01,4.31,4.26,62.59,1053050912.0,0.494,Developing
62,2001,India,4.82,447.01,3.02,3.68,3.78,4.5,62.99,1071477855.0,0.499,Developing
72,2002,India,3.8,466.2,2.06,4.39,4.32,4.4,63.37,1089807112.0,0.505,Developing
82,2003,India,7.86,541.14,6.09,3.81,3.93,4.3,63.76,1108027848.0,0.518,Developing
92,2004,India,7.92,621.32,6.19,3.77,3.89,4.22,64.16,1126135777.0,0.526,Developing
102,2005,India,9.28,707.01,7.57,4.25,4.4,4.28,64.56,1144118674.0,0.536,Developing
112,2006,India,9.26,792.03,7.58,6.15,4.33,4.25,64.97,1161977719.0,0.546,Developing
122,2007,India,9.8,1018.17,8.15,6.37,3.72,4.23,65.39,1179681239.0,0.556,Developing
132,2008,India,3.89,991.48,2.38,8.35,4.15,4.34,65.81,1197146906.0,0.563,Developing
142,2009,India,8.48,1090.32,6.95,10.88,3.91,4.38,66.23,1214270132.0,0.569,Developing
152,2010,India,10.26,1345.77,8.76,11.99,3.55,4.28,66.64,1230980691.0,0.58,Developing
162,2011,India,6.64,1461.67,5.25,8.86,3.54,4.33,67.03,1247236029.0,0.59,Developing
172,2012,India,5.46,1446.99,4.13,9.31,3.62,4.39,67.4,1263065852.0,0.599,Developing
182,2013,India,6.39,1452.2,5.1,10.91,3.57,4.53,67.74,1278562207.0,0.607,Developing
192,2014,India,7.51,1573.12,6.23,6.65,3.53,4.69,68.05,1293859294.0,0.615,Developing
202,2015,India,8.01,1613.19,6.76,4.91,3.49,4.51,68.33,1309053980.0,0.624,Developing
7,1995,China,10.95,609.66,9.75,16.9,4.55,3.53,70.21,1204855000.0,0.547,Developing
17,1996,China,9.93,709.41,8.78,8.32,4.59,3.79,70.48,1217550000.0,0.557,Developing
27,1997,China,9.23,781.74,8.12,2.81,4.6,4.02,70.8,1230075000.0,0.565,Developing
37,1998,China,7.84,828.58,6.81,-0.84,4.73,4.33,71.16,1241935000.0,0.574,Developing
47,1999,China,7.67,873.29,6.74,-1.41,4.7,4.49,71.57,1252735000.0,0.583,Developing
57,2000,China,8.49,959.37,7.64,0.26,4.53,4.6,72.0,1262645000.0,0.592,Developing
67,2001,China,8.34,1053.11,7.56,0.72,4.53,4.56,72.44,1271850000.0,0.6,Developing
77,2002,China,9.13,1148.51,8.4,-0.77,4.41,4.79,72.87,1280400000.0,0.61,Developing
87,2003,China,10.04,1288.64,9.35,1.16,4.3,4.82,73.29,1288400000.0,0.622,Developing
97,2004,China,10.11,1508.67,9.46,3.88,4.3,4.72,73.67,1296075000.0,0.634,Developing
107,2005,China,11.4,1753.42,10.74,1.82,4.14,4.66,74.02,1303720000.0,0.646,Developing
117,2006,China,12.72,2099.23,12.09,1.46,4.0,4.52,74.32,1311020000.0,0.659,Developing
127,2007,China,14.23,2695.37,13.64,4.75,3.76,4.32,74.59,1317885000.0,0.672,Developing
137,2008,China,9.65,3471.25,9.09,5.86,4.36,4.59,74.84,1324655000.0,0.682,Developing
147,2009,China,9.4,3838.43,8.86,-0.7,4.29,5.08,75.06,1331260000.0,0.691,Developing
157,2010,China,10.64,4560.51,10.1,3.33,4.2,4.89,75.27,1337705000.0,0.7,Developing
167,2011,China,9.54,5633.8,9.01,5.41,4.34,5.03,75.45,1344130000.0,0.703,Developing
177,2012,China,7.86,6337.88,7.33,2.64,4.47,5.26,75.63,1350695000.0,0.713,Developing
187,2013,China,7.76,7077.77,7.23,2.63,4.54,5.39,75.8,1357380000.0,0.723,Developing
197,2014,China,7.3,7683.5,6.76,2.0,4.59,5.55,75.96,1364270000.0,0.734,Developing
207,2015,China,6.9,8069.21,6.36,1.44,4.59,5.43,76.12,1371220000.0,0.738,Developing
6,1995,Mexico,-5.76,3655.6,-7.46,35.0,6.89,5.06,72.74,94045579.0,0.67,Developing
16,1996,Mexico,5.87,4153.15,4.06,34.38,5.25,4.59,73.1,95687452.0,0.676,Developing
26,1997,Mexico,6.96,4939.82,5.21,20.63,4.05,4.72,73.44,97281739.0,0.683,Developing
36,1998,Mexico,4.7,5079.97,3.07,15.93,3.57,4.8,73.75,98821456.0,0.689,Developing
46,1999,Mexico,2.67,5777.23,1.15,16.59,2.49,5.01,74.04,100300579.0,0.694,Developing
56,2000,Mexico,5.3,6720.9,3.83,9.5,2.56,4.98,74.3,101719673.0,0.7,Developing
66,2001,Mexico,-0.61,7031.38,-1.9,6.36,2.54,5.35,74.53,103067068.0,0.703,Developing
76,2002,Mexico,0.13,7106.08,-1.1,5.03,2.86,5.52,74.74,104355608.0,0.708,Developing
86,2003,Mexico,1.42,6752.0,0.19,4.55,2.96,6.02,74.94,105640453.0,0.714,Developing
96,2004,Mexico,4.3,7199.06,2.97,4.69,3.66,6.11,75.12,106995583.0,0.719,Developing
106,2005,Mexico,3.03,7986.8,1.63,3.99,3.56,6.04,75.28,108472228.0,0.723,Developing
116,2006,Mexico,4.94,8767.92,3.4,3.63,3.57,5.83,75.44,110092378.0,0.731,Developing
126,2007,Mexico,3.2,9330.34,1.59,3.97,3.64,5.92,75.59,111836346.0,0.735,Developing
136,2008,Mexico,1.4,9689.05,-0.23,5.12,3.9,6.06,75.74,113661809.0,0.738,Developing
146,2009,Mexico,-4.7,7748.12,-6.22,5.3,5.38,6.6,75.88,115505228.0,0.739,Developing
156,2010,Mexico,5.11,8959.58,3.49,4.16,5.33,6.39,76.03,117318941.0,0.745,Developing
166,2011,Mexico,4.04,9834.47,2.5,3.41,5.19,6.04,76.19,119090017.0,0.748,Developing
176,2012,Mexico,4.02,9820.53,2.52,4.11,4.92,6.21,76.35,120828307.0,0.753,Developing
186,2013,Mexico,1.36,10298.87,-0.05,3.81,4.94,6.3,76.52,122535969.0,0.754,Developing
196,2014,Mexico,2.27,10452.28,0.88,4.02,4.83,6.3,76.7,124221600.0,0.758,Developing
206,2015,Mexico,2.63,9143.13,1.27,2.72,4.34,6.7,76.88,125890949.0,0.762,Developing
4,1995,Brazil,4.42,4840.79,2.75,66.01,9.91,6.51,67.6,162296612.0,0.649,Developing
14,1996,Brazil,2.21,5156.81,0.59,15.76,11.2,6.71,68.1,164913306.0,0.656,Developing
24,1997,Brazil,3.4,5271.41,1.77,6.93,11.58,6.69,68.61,167545164.0,0.664,Developing
34,1998,Brazil,0.34,5075.63,-1.21,3.2,14.74,6.56,69.1,170170640.0,0.671,Developing
44,1999,Brazil,0.47,3469.5,-1.04,4.86,14.67,6.91,69.57,172759243.0,0.677,Developing
54,2000,Brazil,4.11,3739.12,2.61,7.04,13.98,7.03,70.02,175287587.0,0.685,Developing
64,2001,Brazil,1.39,3146.95,-0.02,6.84,12.54,7.19,70.44,177750670.0,0.692,Developing
74,2002,Brazil,3.05,2819.65,1.68,8.45,13.04,7.13,70.85,180151021.0,0.699,Developing
84,2003,Brazil,1.14,3059.59,-0.15,14.72,13.68,6.94,71.24,182482149.0,0.695,Developing
94,2004,Brazil,5.76,3623.05,4.47,6.6,12.87,7.07,71.62,184738458.0,0.694,Developing
104,2005,Brazil,3.2,4770.18,2.0,6.87,11.37,8.27,71.99,186917361.0,0.698,Developing
114,2006,Brazil,3.96,5860.15,2.81,4.18,11.49,8.36,72.35,189012412.0,0.7,Developing
124,2007,Brazil,6.07,7313.56,4.95,3.64,10.86,8.28,72.71,191026637.0,0.704,Developing
134,2008,Brazil,5.09,8787.61,4.03,5.66,9.57,8.24,73.07,192979029.0,0.714,Developing
144,2009,Brazil,-0.13,8553.38,-1.11,4.89,9.73,8.65,73.42,194895996.0,0.716,Developing
154,2010,Brazil,7.53,11224.15,6.49,5.04,8.49,8.27,73.77,196796269.0,0.724,Developing
164,2011,Brazil,3.97,13167.47,2.99,6.64,7.78,8.09,74.1,198686688.0,0.73,Developing
174,2012,Brazil,1.92,12291.47,0.97,5.4,7.35,8.26,74.41,200560983.0,0.734,Developing
184,2013,Brazil,3.0,12216.9,2.06,6.2,7.13,8.48,74.7,202408632.0,0.747,Developing
194,2014,Brazil,0.5,12026.62,-0.38,6.33,6.81,8.32,74.96,204213133.0,0.754,Developing
204,2015,Brazil,-3.77,8757.21,-4.59,9.03,8.52,8.83,75.2,205962108.0,0.754,Developing
3,1995,Iran,2.4,1591.72,0.96,49.66,11.74,3.74,68.31,60575644.0,0.634,Developing
13,1996,Iran,6.35,1955.15,4.61,28.94,12.77,3.64,68.72,61583089.0,0.642,Developing
23,1997,Iran,1.35,1816.59,-0.47,17.35,11.72,4.0,69.08,62710557.0,0.648,Developing
33,1998,Iran,2.08,1725.76,0.18,17.87,11.69,4.4,69.42,63900630.0,0.654,Developing
43,1999,Iran,2.0,1749.83,0.18,20.07,11.65,4.39,69.77,65062660.0,0.66,Developing
53,2000,Iran,5.85,1657.17,4.13,14.48,11.78,4.47,70.14,66131854.0,0.666,Developing
63,2001,Iran,2.39,1890.99,0.92,11.27,12.31,5.02,70.52,67096414.0,0.674,Developing
73,2002,Iran,8.08,1892.04,6.67,14.34,12.8,5.39,70.9,67983330.0,0.679,Developing
83,2003,Iran,8.64,2231.34,7.33,16.47,12.19,5.42,71.25,68812713.0,0.686,Developing
93,2004,Iran,4.34,2638.68,3.13,14.76,10.3,5.89,71.59,69617100.0,0.687,Developing
103,2005,Iran,4.21,3121.84,3.02,13.43,12.1,6.06,71.93,70421811.0,0.692,Developing
113,2006,Iran,5.7,3631.24,4.51,11.94,11.3,5.95,72.28,71227880.0,0.704,Developing
123,2007,Iran,9.12,4685.12,7.9,17.21,10.6,5.84,72.66,72031103.0,0.716,Developing
133,2008,Iran,0.92,5452.49,-0.2,25.55,10.48,6.28,73.07,72845542.0,0.728,Developing
143,2009,Iran,2.31,5414.46,1.15,13.5,11.97,7.63,73.51,73687565.0,0.735,Developing
153,2010,Iran,6.58,6273.38,5.32,10.14,13.52,8.02,73.96,74567511.0,0.745,Developing
163,2011,Iran,3.75,7842.43,2.48,20.63,12.3,7.12,74.39,75491582.0,0.755,Developing
173,2012,Iran,-6.61,7680.6,-7.78,27.36,12.21,6.98,74.8,76453574.0,0.769,Developing
183,2013,Iran,-1.91,6607.07,-3.16,39.27,10.4,6.49,75.17,77435384.0,0.77,Developing
193,2014,Iran,4.34,5424.31,3.04,17.24,10.57,6.89,75.48,78411092.0,0.774,Developing
203,2015,Iran,-1.5,4957.58,-2.68,13.71,11.06,7.81,75.74,79360487.0,0.774,Developing
8,1995,Morocco,-5.41,1428.07,-6.85,6.12,22.9,3.55,66.78,27075232.0,0.489,Developing
18,1996,Morocco,12.37,1556.79,10.78,2.99,18.1,3.49,67.12,27460603.0,0.499,Developing
28,1997,Morocco,-1.56,1393.22,-2.87,1.04,16.9,3.71,67.46,27825901.0,0.503,Developing
38,1998,Morocco,7.24,1469.03,5.88,2.75,19.12,3.92,67.82,28175263.0,0.51,Developing
48,1999,Morocco,1.08,1444.99,-0.16,0.68,13.94,3.99,68.21,28514798.0,0.519,Developing
58,2000,Morocco,1.91,1332.38,0.68,1.89,13.6,4.18,68.65,28849621.0,0.53,Developing
68,2001,Morocco,7.32,1336.78,6.03,0.62,12.46,4.44,69.14,29181832.0,0.54,Developing
78,2002,Morocco,3.12,1413.76,1.89,2.8,11.59,5.31,69.67,29512368.0,0.551,Developing
88,2003,Morocco,5.96,1721.97,4.7,1.17,11.92,5.25,70.23,29843937.0,0.561,Developing
98,2004,Morocco,4.8,1948.81,3.56,1.49,10.83,5.22,70.81,30179285.0,0.569,Developing
108,2005,Morocco,3.29,2013.76,2.08,0.98,11.01,5.06,71.39,30521070.0,0.575,Developing
118,2006,Morocco,7.57,2191.48,6.33,3.28,9.67,5.23,71.97,30869346.0,0.581,Developing
128,2007,Morocco,3.53,2494.35,2.33,2.04,9.8,5.48,72.52,31225881.0,0.589,Developing
138,2008,Morocco,5.92,2884.95,4.68,3.71,9.6,5.41,73.04,31596855.0,0.596,Developing
148,2009,Morocco,4.24,2861.55,2.96,0.99,9.1,5.67,73.51,31989897.0,0.603,Developing
158,2010,Morocco,3.82,2834.2,2.47,0.99,9.1,5.86,73.94,32409639.0,0.612,Developing
168,2011,Morocco,5.25,3039.92,3.8,0.92,8.91,5.99,74.32,32858823.0,0.623,Developing
178,2012,Morocco,3.01,2904.75,1.54,1.28,8.99,6.15,74.66,33333789.0,0.634,Developing
188,2013,Morocco,4.54,3111.76,3.01,1.89,9.23,5.94,74.97,33824769.0,0.64,Developing
198,2014,Morocco,2.55,3154.51,1.07,0.44,9.9,5.91,75.26,34318082.0,0.645,Developing
208,2015,Morocco,4.51,2847.29,3.04,1.56,9.7,6.5,75.52,34803322.0,0.647,Developing
9,1995,Thailand,8.12,2845.41,7.05,5.82,1.14,3.53,70.2,59491790.0,0.611,Developing
19,1996,Thailand,5.65,3042.9,4.49,5.81,1.07,3.84,70.23,60151472.0,0.619,Developing
29,1997,Thailand,-2.75,2467.49,-3.89,5.63,0.87,4.0,70.28,60863506.0,0.625,Developing
39,1998,Thailand,-7.63,1845.47,-8.73,7.99,3.4,3.74,70.36,61597283.0,0.63,Developing
49,1999,Thailand,4.57,2032.99,3.38,0.28,2.96,3.5,70.48,62306651.0,0.64,Developing
59,2000,Thailand,4.46,2007.56,3.37,1.59,2.39,3.4,70.63,62958021.0,0.649,Developing
69,2001,Thailand,3.44,1893.15,2.49,1.63,2.6,3.32,70.84,63543322.0,0.657,Developing
79,2002,Thailand,6.15,2096.05,5.27,0.7,1.76,3.7,71.11,64073164.0,0.666,Developing
89,2003,Thailand,7.19,2358.93,6.39,1.8,1.54,3.58,71.41,64554952.0,0.674,Developing
99,2004,Thailand,6.29,2659.84,5.56,2.76,1.51,3.51,71.76,65002231.0,0.682,Developing
109,2005,Thailand,4.19,2893.65,3.51,4.54,1.35,3.55,72.13,65425470.0,0.686,Developing
119,2006,Thailand,4.97,3368.95,4.33,4.64,1.22,3.49,72.51,65824164.0,0.687,Developing
129,2007,Thailand,5.44,3972.21,4.84,2.24,1.18,3.56,72.89,66195615.0,0.7,Developing
139,2008,Thailand,1.73,4378.69,1.19,5.47,1.18,3.92,73.25,66545760.0,0.706,Developing
149,2009,Thailand,-0.69,4212.05,-1.19,-0.85,1.49,4.11,73.59,66881867.0,0.711,Developing
159,2010,Thailand,7.51,5075.3,6.99,3.25,1.04,3.81,73.89,67208808.0,0.72,Developing
169,2011,Thailand,0.84,5491.16,0.36,3.81,0.66,4.12,74.17,67530130.0,0.729,Developing
179,2012,Thailand,7.24,5859.92,6.75,3.02,0.58,4.17,74.42,67843979.0,0.733,Developing
189,2013,Thailand,2.73,6171.26,2.28,2.18,0.77,4.0,74.65,68143065.0,0.737,Developing
199,2014,Thailand,0.91,5941.84,0.51,1.9,0.84,4.12,74.86,68416772.0,0.738,Developing
209,2015,Thailand,2.94,5814.86,2.58,-0.9,0.67,4.02,75.07,68657600.0,0.74,Developing
1,1995,Turkey,7.88,2897.87,6.18,88.11,7.64,2.51,66.98,58486381.0,0.604,Developing
11,1996,Turkey,7.38,3053.95,5.69,80.35,6.63,2.9,67.59,59423208.0,0.613,Developing
21,1997,Turkey,7.58,3144.39,5.89,85.73,6.84,3.13,68.2,60372499.0,0.621,Developing
31,1998,Turkey,2.31,4496.5,0.71,84.64,6.89,3.59,68.81,61329590.0,0.632,Developing
41,1999,Turkey,-3.39,4108.13,-4.87,64.87,7.69,4.77,69.42,62287326.0,0.641,Developing
51,2000,Turkey,6.64,4316.55,5.03,54.92,6.49,4.95,70.0,63240121.0,0.653,Developing
61,2001,Turkey,-5.96,3119.64,-7.36,54.4,8.38,5.16,70.56,64191474.0,0.658,Developing
71,2002,Turkey,6.43,3660.01,4.88,44.96,10.36,5.36,71.08,65143054.0,0.668,Developing
81,2003,Turkey,5.61,4718.5,4.1,25.3,10.54,5.34,71.57,66085803.0,0.675,Developing
91,2004,Turkey,9.64,6040.73,8.14,10.58,10.84,5.37,72.03,67007855.0,0.681,Developing
101,2005,Turkey,9.01,7384.35,7.57,10.14,10.64,5.45,72.45,67903406.0,0.687,Developing
111,2006,Turkey,7.11,8034.87,5.77,9.6,8.72,5.81,72.83,68763405.0,0.697,Developing
121,2007,Turkey,5.03,9709.49,3.77,8.76,8.87,6.04,73.18,69597281.0,0.705,Developing
131,2008,Turkey,0.85,10850.69,-0.36,10.44,9.71,6.07,73.5,70440032.0,0.709,Developing
141,2009,Turkey,-4.7,9036.5,-5.91,6.25,12.55,6.08,73.81,71339185.0,0.715,Developing
151,2010,Turkey,8.49,10672.06,7.01,8.57,10.66,5.61,74.09,72326914.0,0.737,Developing
161,2011,Turkey,11.11,11341.13,9.47,6.47,8.8,5.29,74.37,73409455.0,0.75,Developing
171,2012,Turkey,4.79,11720.31,3.16,8.89,8.15,5.24,74.64,74569867.0,0.754,Developing
181,2013,Turkey,8.49,12542.94,6.75,7.49,8.73,5.38,74.9,75787333.0,0.759,Developing
191,2014,Turkey,5.17,12127.23,3.47,8.85,9.88,5.41,75.15,77030628.0,0.764,Developing
201,2015,Turkey,6.06,10979.53,4.38,7.67,10.24,6.41,75.41,78271472.0,0.767,Developing
5,1995,South Africa,3.12,3752.65,0.95,8.68,16.9,8.28,61.27,41426810.0,0.653,Developing
15,1996,South Africa,4.31,3496.97,2.37,7.35,21.0,8.47,60.53,42210216.0,0.651,Developing
25,1997,South Africa,2.65,3555.0,0.95,8.6,22.9,8.59,59.62,42921506.0,0.647,Developing
35,1998,South Africa,0.52,3161.12,-1.01,6.88,25.0,8.49,58.59,43584030.0,0.641,Developing
45,1999,South Africa,2.36,3088.86,0.85,5.18,25.4,8.51,57.48,44233730.0,0.635,Developing
55,2000,South Africa,4.15,3037.23,2.62,5.34,26.7,8.07,56.37,44896856.0,0.629,Developing
65,2001,South Africa,2.74,2681.71,1.79,5.7,26.2,8.31,55.29,45312937.0,0.62,Developing
75,2002,South Africa,3.67,2518.4,2.44,9.16,26.6,8.09,54.31,45855482.88,0.613,Developing
85,2003,South Africa,2.95,3775.61,1.7,5.86,27.14,8.26,53.49,46418193.9,0.611,Developing
95,2004,South Africa,4.55,4863.52,3.26,1.39,24.67,7.93,52.88,47001700.99,0.609,Developing
105,2005,South Africa,5.28,5414.63,3.94,3.4,23.84,7.77,52.56,47606670.24,0.609,Developing
115,2006,South Africa,5.6,5631.7,4.23,4.64,22.61,7.57,52.6,48233804.48,0.612,Developing
125,2007,South Africa,5.36,6125.04,3.96,7.1,22.53,7.53,53.0,48883844.99,0.616,Developing
135,2008,South Africa,3.19,5786.6,1.79,11.54,22.41,7.75,53.7,49557573.3,0.622,Developing
145,2009,South Africa,-1.54,5888.6,-2.91,7.13,23.52,8.39,54.68,50255813.11,0.63,Developing
155,2010,South Africa,3.04,7362.76,1.58,4.26,24.69,8.5,55.87,50979432.36,0.638,Developing
165,2011,South Africa,3.28,8049.95,1.79,5.0,24.64,8.61,57.18,51729345.36,0.644,Developing
175,2012,South Africa,2.21,7548.16,0.7,5.65,24.73,8.79,58.52,52506515.08,0.652,Developing
185,2013,South Africa,2.49,6876.95,0.94,5.75,24.56,8.78,59.8,53311955.61,0.66,Developing
195,2014,South Africa,1.7,6479.63,0.13,6.07,24.89,8.8,60.95,54146734.74,0.665,Developing
205,2015,South Africa,1.3,5769.77,-0.29,4.59,25.15,8.38,61.93,55011976.68,0.666,Developing
